alert_id,alert_summary,alert_date,alert_time,alert_isin,alert_account_number,alert_account_id,alert_account_name,alert_trade_id
MSP0001,Possible market surveillance alert,05/02/2025,14:15:25,D5E8F2G9H4I7,RRM84ZQ9,Q4W8Z7,Globex Asset Management,P4DZHDS901
MSP0002,Possible market surveillance alert,05/22/2025,14:19:24,R8T4Y6U2I9O3,CPLX1023,T6R1P8,Pinnacle Investment Group,4QSNG72XO3
MSP0003,Possible market surveillance alert,05/16/2025,12:26:20,Z3X7C9V2B8N5,MXT4921,A7X9B2,Acme Capital Partners,DT5C43JWF1
MSP0004,Possible market surveillance alert,05/22/2025,11:56:59,A7X9B2C4D8E1,CPLX1023,T6R1P8,Pinnacle Investment Group,Q6Y21HNQRB
MSP0005,Possible market surveillance alert,05/19/2025,10:50:55,P3Q8R6S2T9U4,EQTZ4508,L9K2J8,Vanguard Demo Capital,70N8OL6NCQ
MSP0006,Possible market surveillance alert,05/26/2025,11:02:31,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,YRLIUY7PF3
MSP0007,Possible market surveillance alert,05/20/2025,13:51:05,Q4W8Z7L3M9N2,EQTZ4508,L9K2J8,Vanguard Demo Capital,13P24N6KIY
MSP0008,Possible market surveillance alert,05/21/2025,10:46:07,Q4W8Z7L3M9N3,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,2A222XQZJ2
MSP0009,Possible market surveillance alert,05/19/2025,12:31:26,R8T4Y6U2I9O3,M9H2X7P3,Z3X7C9,Apex Fund Strategies,BFIEPYXQ4U
MSP0010,Possible market surveillance alert,05/02/2025,14:12:27,F1G7H9J3K8L2,MXT4921,A7X9B2,Acme Capital Partners,UTDU2KVBMP
MSP0011,Possible market surveillance alert,05/30/2025,11:10:48,M2N7X4V8C3B6,F9H2X7P3,Z3X7C9,Apex Fund Strategies,94BI3C4K7K
MSP0012,Possible market surveillance alert,05/14/2025,13:38:26,Q4W8Z7L3M9N2,HQLX73Z4,F1G7H9,Summit Demo Partners,S29XOOP3LG
MSP0013,Possible market surveillance alert,05/12/2025,10:07:29,Q4W8Z7L3M9N2,RRM84ZQ9,Q4W8Z7,Globex Asset Management,10ZQZF6S7F
MSP0014,Possible market surveillance alert,05/15/2025,13:49:47,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,FNIKYWVN8D
MSP0015,Possible market surveillance alert,05/12/2025,10:38:56,L9K2J8H4G7F1,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,N6RZQJ18J2
MSP0016,Possible market surveillance alert,05/08/2025,13:56:35,Q4W8Z7L3M9N3,GTRM8821,R8T4Y6,Meridian Global Holdings,0JCDQ6EQZH
MSP0017,Possible market surveillance alert,05/22/2025,11:40:58,Q4W8Z7L3M9N3,RRM84ZQ9,Q4W8Z7,Globex Asset Management,TGQ4A1RZXP
MSP0018,Possible market surveillance alert,05/09/2025,13:27:01,Q4W8Z7L3M9N2,JXK920LM,D5E8F2,Zenith Investment Group,DXWD1O2BGR
MSP0019,Possible market surveillance alert,05/07/2025,11:48:51,D5E8F2G9H4I7,M9H2X7P3,Z3X7C9,Apex Fund Strategies,YDGV2GK79U
MSP0020,Possible market surveillance alert,05/14/2025,11:54:28,F1G7H9J3K8L2,EQTZ4508,L9K2J8,Vanguard Demo Capital,KAF8PRQ2CC
MSP0021,Possible market surveillance alert,05/09/2025,12:40:36,D5E8F2G9H4I7,RRM84ZQ9,Q4W8Z7,Globex Asset Management,P7FUTR3J8L
MSP0022,Possible market surveillance alert,05/16/2025,12:51:49,Q4W8Z7L3M9N3,RRM84ZQ9,Q4W8Z7,Globex Asset Management,KAN3A6TFKT
MSP0023,Possible market surveillance alert,05/09/2025,10:35:49,D5E8F2G9H4I7,GTRM8821,R8T4Y6,Meridian Global Holdings,EKIX0071LD
MSP0024,Possible market surveillance alert,05/20/2025,15:02:17,R7PPOS98K1O1,GTRM8821,R8T4Y6,Meridian Global Holdings,IBFTTNL3Q3
MSP0025,Possible market surveillance alert,05/30/2025,11:44:39,T6R1P8K3J5H9,GTRM8821,R8T4Y6,Meridian Global Holdings,WKWS6J97GF
MSP0026,Possible market surveillance alert,05/16/2025,10:14:49,L9K2J8H4G7F1,MXT4921,A7X9B2,Acme Capital Partners,89F6D046I6
MSP0027,Possible market surveillance alert,05/05/2025,12:51:13,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,A1MXON5D00
MSP0028,Possible market surveillance alert,05/13/2025,11:26:36,A7X9B2C4D8E1,RRM84ZQ9,Q4W8Z7,Globex Asset Management,8IBEC36F0G
MSP0029,Possible market surveillance alert,05/13/2025,13:17:48,P3Q8R6S2T9U4,GTRM8821,R8T4Y6,Meridian Global Holdings,BHKL91L8RS
MSP0030,Possible market surveillance alert,05/14/2025,10:47:29,R7PPOS98K1O1,D7KQ91LM,M2N7X4,Atlas Wealth Advisors,GIKEAY8EKS
MSP0031,Possible market surveillance alert,05/29/2025,13:49:07,P3Q8R6S2T9U4,KTRQ58V1,P3Q8R6,Nexus Asset Management,PH52AZD03E
MSP0032,Possible market surveillance alert,05/14/2025,10:40:50,R8T4Y6U2I9O3,KTRQ58V1,P3Q8R6,Nexus Asset Management,CO9KERSXL8
MSP0033,Possible market surveillance alert,05/16/2025,11:34:31,R7PPOS98K1O1,M9H2X7P3,Z3X7C9,Apex Fund Strategies,RAVTFW4D0F
MSP0034,Possible market surveillance alert,05/23/2025,12:18:18,A7X9B2C4D8E1,EQTZ4508,L9K2J8,Vanguard Demo Capital,FVG702PQW2
MSP0035,Possible market surveillance alert,05/27/2025,10:05:53,D5E8F2G9H4I7,CPLX1023,T6R1P8,Pinnacle Investment Group,K3J2QIMT1V
MSP0036,Possible market surveillance alert,05/29/2025,14:46:22,P3Q8R6S2T9U4,CPLX1023,T6R1P8,Pinnacle Investment Group,KOEN7PEX85
MSP0037,Possible market surveillance alert,05/09/2025,12:29:47,R8T4Y6U2I9O3,F9H2X7P3,Z3X7C9,Apex Fund Strategies,JI90438D5C
MSP0038,Possible market surveillance alert,05/15/2025,13:16:10,L9K2J8H4G7F2,RRM84ZQ9,Q4W8Z7,Globex Asset Management,G3LL7F67VF
MSP0039,Possible market surveillance alert,05/06/2025,11:33:57,F1G7H9J3K8L2,HQLX73Z4,F1G7H9,Summit Demo Partners,QETAZBHG3B
MSP0040,Possible market surveillance alert,05/14/2025,13:15:05,R8T4Y6U2I9O3,HQLX73Z4,F1G7H9,Summit Demo Partners,2O3L9S0524
MSP0041,Possible market surveillance alert,05/16/2025,10:14:20,Z3X7C9V2B8N5,GTRM8821,R8T4Y6,Meridian Global Holdings,6IIIXU8OKB
MSP0042,Possible market surveillance alert,05/01/2025,12:03:17,R7WUOSJ8U9J7,MXT4921,A7X9B2,Acme Capital Partners,6DD4DBO7YD
MSP0043,Possible market surveillance alert,05/27/2025,14:38:23,Q4W8Z7L3M9N3,MXT4921,A7X9B2,Acme Capital Partners,I9L2U2WXW2
MSP0044,Possible market surveillance alert,05/23/2025,10:44:24,Q4W8Z7L3M9N3,GTRM8821,R8T4Y6,Meridian Global Holdings,LS844Q2NYX
MSP0045,Possible market surveillance alert,05/08/2025,11:27:56,A7X9B2C4D8E1,M9H2X7P3,Z3X7C9,Apex Fund Strategies,PRFPVIMNSN
MSP0046,Possible market surveillance alert,05/23/2025,11:48:04,Z3X7C9V2B8N5,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,GYIK28Y64R
MSP0047,Possible market surveillance alert,05/23/2025,11:48:21,Z3X7C9V2B8N5,KTRQ58V1,P3Q8R6,Nexus Asset Management,84RXH2TT1W
MSP0048,Possible market surveillance alert,05/02/2025,11:35:05,T6R1P8K3J5H9,F9H2X7P3,Z3X7C9,Apex Fund Strategies,BHVZS47E8W
MSP0049,Possible market surveillance alert,05/20/2025,10:31:22,F1G7H9J3K8L2,EQTZ4508,L9K2J8,Vanguard Demo Capital,UDS70E88G2
MSP0050,Possible market surveillance alert,05/13/2025,13:15:55,Z3X7C9V2B8N5,EQTZ4508,L9K2J8,Vanguard Demo Capital,9278DJZVBD
MSP0051,Possible market surveillance alert,05/16/2025,13:23:20,T6R1P8K3J5H9,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,EUAURQYS01
MSP0052,Possible market surveillance alert,05/29/2025,14:23:45,R8T4Y6U2I9O3,JXK920LM,D5E8F2,Zenith Investment Group,IVF74E2EZD
MSP0053,Possible market surveillance alert,05/15/2025,13:37:06,P3Q8R6S2T9U4,HQLX73Z4,F1G7H9,Summit Demo Partners,71HY0M0631
MSP0054,Possible market surveillance alert,05/20/2025,11:29:16,Q4W8Z7L3M9N3,GTRM8821,R8T4Y6,Meridian Global Holdings,TLLF8FD7TP
MSP0055,Possible market surveillance alert,05/23/2025,12:06:30,Q4W8Z7L3M9N2,CPLX1023,T6R1P8,Pinnacle Investment Group,GT87M2WRFN
MSP0056,Possible market surveillance alert,05/21/2025,15:25:36,A7X9B2C4D8E1,KTRQ58V1,P3Q8R6,Nexus Asset Management,48PEJ45WEE
MSP0057,Possible market surveillance alert,05/15/2025,13:14:08,A7X9B2C4D8E1,AXT4921,A7X9B2,Acme Capital Partners,TADQ03PK8Q
MSP0058,Possible market surveillance alert,05/09/2025,12:25:58,A7X9B2C4D8E1,HQLX73Z4,F1G7H9,Summit Demo Partners,S702TDO9B5
MSP0059,Possible market surveillance alert,05/22/2025,11:33:41,P3Q8R6S2T9U4,M9H2X7P3,Z3X7C9,Apex Fund Strategies,BDX9AXEXWD
MSP0060,Possible market surveillance alert,05/21/2025,14:56:02,R7WUOSJ8U9J7,HQLX73Z4,F1G7H9,Summit Demo Partners,IIQF413HA6
MSP0061,Possible market surveillance alert,05/09/2025,13:36:34,R7WUOSJ8U9J7,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,AAFB3V928I
MSP0062,Possible market surveillance alert,05/09/2025,14:40:19,M2N7X4V8C3B6,RRM84ZQ9,Q4W8Z7,Globex Asset Management,Y287E14Z34
MSP0063,Possible market surveillance alert,05/14/2025,10:13:15,Z3X7C9V2B8N5,KTRQ58V1,P3Q8R6,Nexus Asset Management,EEZST0TWD4
MSP0064,Possible market surveillance alert,05/14/2025,10:51:13,Q4W8Z7L3M9N3,CPLX1023,T6R1P8,Pinnacle Investment Group,BGAJDZS90W
MSP0065,Possible market surveillance alert,05/16/2025,10:17:59,A7X9B2C4D8E1,RRM84ZQ9,Q4W8Z7,Globex Asset Management,ABH5QZOGND
MSP0066,Possible market surveillance alert,05/23/2025,11:00:34,L9K2J8H4G7F2,CPLX1023,T6R1P8,Pinnacle Investment Group,VQT2JW5UQF
MSP0067,Possible market surveillance alert,05/08/2025,15:12:12,R8T4Y6U2I9O3,KTRQ58V1,P3Q8R6,Nexus Asset Management,PUTZJXP7FF
MSP0068,Possible market surveillance alert,05/15/2025,12:47:45,D5E8F2G9H4I7,EQTZ4508,L9K2J8,Vanguard Demo Capital,6REE9E8KDK
MSP0069,Possible market surveillance alert,05/20/2025,12:21:12,P3Q8R6S2T9U4,GTRM8821,R8T4Y6,Meridian Global Holdings,OW8OFO4H8V
MSP0070,Possible market surveillance alert,05/20/2025,11:44:37,R7WUOSJ8U9J7,KTRQ58V1,P3Q8R6,Nexus Asset Management,KPRRFIDUMU
MSP0071,Possible market surveillance alert,05/19/2025,13:51:40,R8T4Y6U2I9O3,AXT4921,A7X9B2,Acme Capital Partners,VXWLI2MTHP
MSP0072,Possible market surveillance alert,05/16/2025,13:26:35,R8T4Y6U2I9O3,RRM84ZQ9,Q4W8Z7,Globex Asset Management,8S30U5E74S
MSP0073,Possible market surveillance alert,05/23/2025,12:51:41,M2N7X4V8C3B6,AXT4921,A7X9B2,Acme Capital Partners,ILS4NRBECC
MSP0074,Possible market surveillance alert,05/28/2025,14:37:52,Q4W8Z7L3M9N3,EQTZ4508,L9K2J8,Vanguard Demo Capital,CKUMRG0LC0
MSP0075,Possible market surveillance alert,05/28/2025,10:04:50,Z3X7C9V2B8N5,D7KQ91LM,M2N7X4,Atlas Wealth Advisors,Z4ONZFIVYE
MSP0076,Possible market surveillance alert,05/16/2025,12:00:25,R8T4Y6U2I9O3,HQLX73Z4,F1G7H9,Summit Demo Partners,C9Q1PL1YFZ
MSP0077,Possible market surveillance alert,05/23/2025,12:07:59,R7WUOSJ8U9J7,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,MAYH1SQFZF
MSP0078,Possible market surveillance alert,05/14/2025,14:35:59,R7WUOSJ8U9J7,M9H2X7P3,Z3X7C9,Apex Fund Strategies,8UH429XFSQ
MSP0079,Possible market surveillance alert,05/27/2025,12:09:33,L9K2J8H4G7F1,KTRQ58V1,P3Q8R6,Nexus Asset Management,41BPRQ7FLG
MSP0080,Possible market surveillance alert,05/08/2025,14:59:21,R7PPOS98K1O1,HQLX73Z4,F1G7H9,Summit Demo Partners,WIGKGR9V0R
MSP0081,Possible market surveillance alert,05/01/2025,10:27:45,M2N7X4V8C3B6,F9H2X7P3,Z3X7C9,Apex Fund Strategies,444WUXOY21
MSP0082,Possible market surveillance alert,05/20/2025,10:19:10,P3Q8R6S2T9U4,AXT4921,A7X9B2,Acme Capital Partners,0T5M74LRT1
MSP0083,Possible market surveillance alert,05/22/2025,14:41:10,L9K2J8H4G7F2,HQLX73Z4,F1G7H9,Summit Demo Partners,P6KVE4NMUR
MSP0084,Possible market surveillance alert,05/27/2025,12:55:22,R8T4Y6U2I9O3,CPLX1023,T6R1P8,Pinnacle Investment Group,AO97WWOGAM
MSP0085,Possible market surveillance alert,05/09/2025,11:03:13,M2N7X4V8C3B6,GTRM8821,R8T4Y6,Meridian Global Holdings,V7YQPLFVUA
MSP0086,Possible market surveillance alert,05/14/2025,11:31:45,T6R1P8K3J5H9,RRM84ZQ9,Q4W8Z7,Globex Asset Management,SWZ92W5R91
MSP0087,Possible market surveillance alert,05/21/2025,14:58:06,R8T4Y6U2I9O3,D7KQ91LM,M2N7X4,Atlas Wealth Advisors,K8W2Q5CES0
MSP0088,Possible market surveillance alert,05/26/2025,12:25:14,D5E8F2G9H4I7,M9H2X7P3,Z3X7C9,Apex Fund Strategies,8XP8D9FK30
MSP0089,Possible market surveillance alert,05/30/2025,14:07:30,F1G7H9J3K8L2,AXT4921,A7X9B2,Acme Capital Partners,AEKBS18R59
MSP0090,Possible market surveillance alert,05/27/2025,12:33:26,L9K2J8H4G7F1,KTRQ58V1,P3Q8R6,Nexus Asset Management,IOC2XDHTT2
MSP0091,Possible market surveillance alert,05/08/2025,15:05:10,Z3X7C9V2B8N5,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,IBBN8BND7Y
MSP0092,Possible market surveillance alert,05/23/2025,13:55:23,D5E8F2G9H4I7,F9H2X7P3,Z3X7C9,Apex Fund Strategies,A500O2NB6I
MSP0093,Possible market surveillance alert,05/05/2025,13:25:14,M2N7X4V8C3B6,M9H2X7P3,Z3X7C9,Apex Fund Strategies,PA8SJYTB1O
MSP0094,Possible market surveillance alert,05/22/2025,14:55:34,F1G7H9J3K8L2,M7KQ91LM,M2N7X4,Atlas Wealth Advisors,JIO4SM246K
MSP0095,Possible market surveillance alert,05/22/2025,13:14:48,Z3X7C9V2B8N5,KTRQ58V1,P3Q8R6,Nexus Asset Management,EJT55GYDYM
MSP0096,Possible market surveillance alert,05/14/2025,13:56:49,L9K2J8H4G7F2,JXK920LM,D5E8F2,Zenith Investment Group,T9WK1OTEEU
MSP0097,Possible market surveillance alert,05/07/2025,15:29:13,Q4W8Z7L3M9N3,HQLX73Z4,F1G7H9,Summit Demo Partners,0VCOR6HRME
MSP0098,Possible market surveillance alert,05/05/2025,12:00:34,Q4W8Z7L3M9N2,GTRM8821,R8T4Y6,Meridian Global Holdings,MHTAKQ8W5M
MSP0099,Possible market surveillance alert,05/14/2025,12:18:43,R7WUOSJ8U9J7,AXT4921,A7X9B2,Acme Capital Partners,81ST9KM6NI
MSP0100,Possible market surveillance alert,05/19/2025,11:47:22,R7WUOSJ8U9J7,MXT4921,A7X9B2,Acme Capital Partners,LT90HVWXAK
